Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-496.0	496	996	1	-496.0	496	996	1	-496.0	496	996	1	-496.0	496	996	1	-496.0	496	996	1	-496.0	496	996
2	-444.0	444	1440	2	-444.0	444	1440	2	-444.0	444	1440	2	-444.0	444	1440	2	-444.0	444	1440	2	-444.0	444	1440
3	-500.0	500	1940	3	-500.0	500	1940	3	-500.0	500	1940	3	-500.0	500	1940	3	-500.0	500	1940	3	-500.0	500	1940
4	-436.0	436	2376	4	-436.0	436	2376	4	-436.0	436	2376	4	-436.0	436	2376	4	-436.0	436	2376	4	-436.0	436	2376
5	-386.0	386	2762	5	-386.0	386	2762	5	-386.0	386	2762	5	-386.0	386	2762	5	-386.0	386	2762	5	-386.0	386	2762
6	-296.0	296	3058	6	-296.0	296	3058	6	-296.0	296	3058	6	-296.0	296	3058	6	-296.0	296	3058	6	-296.0	296	3058
7	-340.0	340	3398	7	-340.0	340	3398	7	-340.0	340	3398	7	-340.0	340	3398	7	-340.0	340	3398	7	-340.0	340	3398
8	-299.0	299	3697	8	-299.0	299	3697	8	-299.0	299	3697	8	-299.0	299	3697	8	-299.0	299	3697	8	-299.0	299	3697
9	-236.0	236	3933	9	-236.0	236	3933	9	-236.0	236	3933	9	-236.0	236	3933	9	-236.0	236	3933	9	-236.0	236	3933
10	-201.0	201	4134	10	-201.0	201	4134	10	-201.0	201	4134	10	-201.0	201	4134	10	-201.0	201	4134	10	-201.0	201	4134
11	-225.0	225	4359	11	-225.0	225	4359	11	-225.0	225	4359	11	-225.0	225	4359	11	-225.0	225	4359	11	-225.0	225	4359
12	-181.0	181	4540	12	-181.0	181	4540	12	-181.0	181	4540	12	-181.0	181	4540	12	-181.0	181	4540	12	-181.0	181	4540
13	-196.0	196	4736	13	-196.0	196	4736	13	-196.0	196	4736	13	-196.0	196	4736	13	-196.0	196	4736	13	-196.0	196	4736
