Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431
3	-427.0	427	1858	3	-427.0	427	1858	3	-427.0	427	1858	3	-427.0	427	1858	3	-427.0	427	1858	3	-427.0	427	1858	3	-427.0	427	1858
4	-366.0	366	2224	4	-366.0	366	2224	4	-366.0	366	2224	4	-366.0	366	2224	4	-366.0	366	2224	4	-366.0	366	2224	4	-366.0	366	2224
5	-434.0	434	2658	5	-434.0	434	2658	5	-434.0	434	2658	5	-434.0	434	2658	5	-434.0	434	2658	5	-434.0	434	2658	5	-434.0	434	2658
6	-238.0	238	2896	6	-238.0	238	2896	6	-238.0	238	2896	6	-238.0	238	2896	6	-238.0	238	2896	6	-238.0	238	2896	6	-238.0	238	2896
7	-305.0	305	3201	7	-305.0	305	3201	7	-305.0	305	3201	7	-305.0	305	3201	7	-305.0	305	3201	7	-305.0	305	3201	7	-305.0	305	3201
8	-268.0	268	3469	8	-268.0	268	3469	8	-268.0	268	3469	8	-268.0	268	3469	8	-268.0	268	3469	8	-268.0	268	3469	8	-268.0	268	3469
9	-308.0	308	3777	9	-308.0	308	3777	9	-308.0	308	3777	9	-308.0	308	3777	9	-308.0	308	3777	9	-308.0	308	3777	9	-308.0	308	3777
10	-295.0	295	4072	10	-295.0	295	4072	10	-295.0	295	4072	10	-295.0	295	4072	10	-295.0	295	4072	10	-295.0	295	4072	10	-295.0	295	4072
11	-159.0	159	4231	11	-159.0	159	4231	11	-159.0	159	4231	11	-159.0	159	4231	11	-159.0	159	4231	11	-159.0	159	4231	11	-159.0	159	4231
