Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995	1	-495.0	495	995
2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495	2	-500.0	500	1495
3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995	3	-500.0	500	1995
4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299	4	-304.0	304	2299
5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799	5	-500.0	500	2799
6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961	6	-162.0	162	2961
7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243	7	-282.0	282	3243
8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478	8	-235.0	235	3478
9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700	9	-222.0	222	3700
10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925	10	-225.0	225	3925
11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121	11	-196.0	196	4121
12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410	12	-289.0	289	4410
13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679	13	-269.0	269	4679
14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912	14	-233.0	233	4912
15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068	15	-156.0	156	5068
16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296	16	-228.0	228	5296
17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518	17	-222.0	222	5518
18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746	18	-228.0	228	5746
19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929	19	-183.0	183	5929
20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097	20	-168.0	168	6097
21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291	21	-194.0	194	6291
22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438	22	-147.0	147	6438
23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671	23	-233.0	233	6671
24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823	24	-152.0	152	6823
25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010	25	-187.0	187	7010
26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244	26	-234.0	234	7244
27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394	27	-150.0	150	7394
28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625	28	-231.0	231	7625
29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854	29	-229.0	229	7854
30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020	30	-166.0	166	8020
31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168	31	-148.0	148	8168
32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293	32	-125.0	125	8293
