Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307	4	-307.0	307	2307
5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586	5	-279.0	279	2586
6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832	6	-246.0	246	2832
7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135	7	-303.0	303	3135
8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494	8	-359.0	359	3494
9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731	9	-237.0	237	3731
10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015	10	-284.0	284	4015
11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257	11	-242.0	242	4257
12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486	12	-229.0	229	4486
13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716	13	-230.0	230	4716
