Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499	2	-499.0	499	1499
3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999	3	-500.0	500	1999
4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413	4	-414.0	414	2413
5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913	5	-500.0	500	2913
6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228	6	-315.0	315	3228
7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633	7	-405.0	405	3633
8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854	8	-221.0	221	3854
9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087	9	-233.0	233	4087
10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362	10	-275.0	275	4362
11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574	11	-212.0	212	4574
12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766	12	-192.0	192	4766
13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951	13	-185.0	185	4951
14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112	14	-161.0	161	5112
15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385	15	-273.0	273	5385
16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613	16	-228.0	228	5613
17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802	17	-189.0	189	5802
18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987	18	-185.0	185	5987
19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142	19	-155.0	155	6142
20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354	20	-212.0	212	6354
21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542	21	-188.0	188	6542
22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689	22	-147.0	147	6689
23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832	23	-143.0	143	6832
24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011	24	-179.0	179	7011
25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167	25	-156.0	156	7167
26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357	26	-190.0	190	7357
27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512	27	-155.0	155	7512
28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657	28	-145.0	145	7657
