Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000
4	-500.0	500	2500	4	-500.0	500	2500
5	-347.0	347	2847	5	-347.0	347	2847
6	-500.0	500	3347	6	-500.0	500	3347
7	-326.0	326	3673	7	-326.0	326	3673
8	-201.0	201	3874	8	-201.0	201	3874
9	-372.0	372	4246	9	-372.0	372	4246
10	-174.0	174	4420	10	-174.0	174	4420
11	-209.0	209	4629	11	-209.0	209	4629
12	-159.0	159	4788	12	-159.0	159	4788
13	-131.0	131	4919	13	-131.0	131	4919
14	-160.0	160	5079	14	-160.0	160	5079
15	-156.0	156	5235	15	-156.0	156	5235
16	-160.0	160	5395	16	-160.0	160	5395
17	-165.0	165	5560	17	-165.0	165	5560
18	-147.0	147	5707	18	-147.0	147	5707
19	-152.0	152	5859	19	-152.0	152	5859
20	-139.0	139	5998	20	-139.0	139	5998
21	-220.0	220	6218	21	-220.0	220	6218
22	-176.0	176	6394	22	-176.0	176	6394
23	-169.0	169	6563	23	-169.0	169	6563
24	-114.0	114	6677	24	-114.0	114	6677
25	-109.0	109	6786	25	-109.0	109	6786
26	-108.0	108	6894	26	-108.0	108	6894
27	-109.0	109	7003	27	-109.0	109	7003
28	-113.0	113	7116	28	-113.0	113	7116
29	-111.0	111	7227	29	-111.0	111	7227
30	-108.0	108	7335	30	-108.0	108	7335
31	-186.0	186	7521	31	-186.0	186	7521
32	-173.0	173	7694	32	-173.0	173	7694
33	-112.0	112	7806	33	-112.0	112	7806
34	-110.0	110	7916	34	-110.0	110	7916
35	-176.0	176	8092	35	-176.0	176	8092
36	-110.0	110	8202	36	-110.0	110	8202
37	-114.0	114	8316	37	-114.0	114	8316
38	-111.0	111	8427	38	-111.0	111	8427
39	-194.0	194	8621	39	-194.0	194	8621
40	-111.0	111	8732	40	-111.0	111	8732
41	-110.0	110	8842	41	-110.0	110	8842
42	-109.0	109	8951	42	-109.0	109	8951
43	-109.0	109	9060	43	-109.0	109	9060
44	-109.0	109	9169	44	-109.0	109	9169
45	-111.0	111	9280	45	-111.0	111	9280
46	-109.0	109	9389	46	-109.0	109	9389
47	-110.0	110	9499	47	-110.0	110	9499
