Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-423.0	423	1923
4	-500.0	500	2423
5	-500.0	500	2923
6	-327.0	327	3250
7	-299.0	299	3549
8	-500.0	500	4049
9	-500.0	500	4549
10	-500.0	500	5049
11	-500.0	500	5549
12	-500.0	500	6049
13	-500.0	500	6549
14	-500.0	500	7049
15	-500.0	500	7549
16	-500.0	500	8049
17	-500.0	500	8549
18	-500.0	500	9049
19	-500.0	500	9549
20	-500.0	500	10049
21	-500.0	500	10549
22	-500.0	500	11049
23	-500.0	500	11549
24	-500.0	500	12049
25	-500.0	500	12549
26	-500.0	500	13049
27	-500.0	500	13549
28	-500.0	500	14049
29	-500.0	500	14549
30	-500.0	500	15049
31	-500.0	500	15549
32	-500.0	500	16049
33	-500.0	500	16549
34	-500.0	500	17049
35	-500.0	500	17549
36	-500.0	500	18049
37	-500.0	500	18549
38	-500.0	500	19049
39	-500.0	500	19549
40	-500.0	500	20049
41	-500.0	500	20549
42	-500.0	500	21049
43	-500.0	500	21549
44	-500.0	500	22049
45	-500.0	500	22549
46	-500.0	500	23049
47	-500.0	500	23549
48	-500.0	500	24049
49	-500.0	500	24549
50	-500.0	500	25049
51	-500.0	500	25549
52	-500.0	500	26049
53	-500.0	500	26549
54	-500.0	500	27049
55	-500.0	500	27549
56	-500.0	500	28049
57	-500.0	500	28549
58	-500.0	500	29049
59	-500.0	500	29549
60	-500.0	500	30049
61	-500.0	500	30549
62	-500.0	500	31049
63	-500.0	500	31549
64	-500.0	500	32049
65	-500.0	500	32549
66	-500.0	500	33049
67	-500.0	500	33549
68	-500.0	500	34049
69	-500.0	500	34549
70	-319.0	319	34868
71	-321.0	321	35189
72	-301.0	301	35490
73	-500.0	500	35990
74	-500.0	500	36490
75	-500.0	500	36990
76	-500.0	500	37490
77	-500.0	500	37990
78	-500.0	500	38490
79	-500.0	500	38990
80	-500.0	500	39490
81	-500.0	500	39990
82	-500.0	500	40490
83	-500.0	500	40990
84	-500.0	500	41490
85	-500.0	500	41990
86	-500.0	500	42490
87	-500.0	500	42990
88	-500.0	500	43490
89	-500.0	500	43990
90	-500.0	500	44490
91	-500.0	500	44990
92	-500.0	500	45490
93	-500.0	500	45990
94	-500.0	500	46490
95	-500.0	500	46990
96	-500.0	500	47490
97	-500.0	500	47990
98	-500.0	500	48490
99	-500.0	500	48990
100	-500.0	500	49490
101	-500.0	500	49990
102	-500.0	500	50490
103	-500.0	500	50990
104	-500.0	500	51490
105	-500.0	500	51990
106	-500.0	500	52490
107	-500.0	500	52990
108	-500.0	500	53490
109	-500.0	500	53990
110	-500.0	500	54490
111	-500.0	500	54990
112	-500.0	500	55490
113	-500.0	500	55990
114	-500.0	500	56490
115	-500.0	500	56990
116	-500.0	500	57490
117	-500.0	500	57990
118	-500.0	500	58490
119	-500.0	500	58990
120	-500.0	500	59490
121	-500.0	500	59990
