Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-473.0	473	1973	3	-473.0	473	1973	3	-473.0	473	1973
4	-431.0	431	2404	4	-431.0	431	2404	4	-431.0	431	2404
5	-335.0	335	2739	5	-335.0	335	2739	5	-335.0	335	2739
6	-292.0	292	3031	6	-292.0	292	3031	6	-292.0	292	3031
7	-182.0	182	3213	7	-182.0	182	3213	7	-182.0	182	3213
8	-245.0	245	3458	8	-245.0	245	3458	8	-245.0	245	3458
9	-160.0	160	3618	9	-160.0	160	3618	9	-160.0	160	3618
10	-304.0	304	3922	10	-304.0	304	3922	10	-304.0	304	3922
11	-158.0	158	4080	11	-158.0	158	4080	11	-158.0	158	4080
12	-320.0	320	4400	12	-320.0	320	4400	12	-320.0	320	4400
13	-146.0	146	4546	13	-146.0	146	4546	13	-146.0	146	4546
14	-135.0	135	4681	14	-135.0	135	4681	14	-135.0	135	4681
15	-163.0	163	4844	15	-163.0	163	4844	15	-163.0	163	4844
16	-122.0	122	4966	16	-122.0	122	4966	16	-122.0	122	4966
17	-120.0	120	5086	17	-120.0	120	5086	17	-120.0	120	5086
18	-181.0	181	5267	18	-181.0	181	5267	18	-181.0	181	5267
19	-186.0	186	5453	19	-186.0	186	5453	19	-186.0	186	5453
20	-177.0	177	5630	20	-177.0	177	5630	20	-177.0	177	5630
21	-198.0	198	5828	21	-198.0	198	5828	21	-198.0	198	5828
22	-114.0	114	5942	22	-114.0	114	5942	22	-114.0	114	5942
23	-195.0	195	6137	23	-195.0	195	6137	23	-195.0	195	6137
24	-115.0	115	6252	24	-115.0	115	6252	24	-115.0	115	6252
25	-174.0	174	6426	25	-174.0	174	6426	25	-174.0	174	6426
26	-183.0	183	6609	26	-183.0	183	6609	26	-183.0	183	6609
27	-182.0	182	6791	27	-182.0	182	6791	27	-182.0	182	6791
28	-112.0	112	6903	28	-112.0	112	6903	28	-112.0	112	6903
29	-500.0	500	7403	29	-500.0	500	7403	29	-500.0	500	7403
30	-500.0	500	7903	30	-500.0	500	7903	30	-500.0	500	7903
31	-157.0	157	8060	31	-157.0	157	8060	31	-157.0	157	8060
32	-500.0	500	8560	32	-500.0	500	8560	32	-500.0	500	8560
33	-161.0	161	8721	33	-161.0	161	8721	33	-161.0	161	8721
34	-167.0	167	8888	34	-167.0	167	8888	34	-167.0	167	8888
35	-159.0	159	9047	35	-159.0	159	9047	35	-159.0	159	9047
36	-160.0	160	9207	36	-160.0	160	9207	36	-160.0	160	9207
37	-152.0	152	9359	37	-152.0	152	9359	37	-152.0	152	9359
38	-156.0	156	9515	38	-156.0	156	9515	38	-156.0	156	9515
39	-149.0	149	9664	39	-149.0	149	9664	39	-149.0	149	9664
40	-148.0	148	9812	40	-148.0	148	9812	40	-148.0	148	9812
41	-148.0	148	9960	41	-148.0	148	9960	41	-148.0	148	9960
42	-500.0	500	10460	42	-500.0	500	10460	42	-500.0	500	10460
43	-500.0	500	10960	43	-500.0	500	10960	43	-500.0	500	10960
44	-500.0	500	11460	44	-500.0	500	11460	44	-500.0	500	11460
45	-500.0	500	11960	45	-500.0	500	11960	45	-500.0	500	11960
