Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-323.0	323	2323	4	-323.0	323	2323	4	-323.0	323	2323	4	-323.0	323	2323	4	-323.0	323	2323
5	-500.0	500	2823	5	-500.0	500	2823	5	-500.0	500	2823	5	-500.0	500	2823	5	-500.0	500	2823
6	-500.0	500	3323	6	-500.0	500	3323	6	-500.0	500	3323	6	-500.0	500	3323	6	-500.0	500	3323
7	-500.0	500	3823	7	-500.0	500	3823	7	-500.0	500	3823	7	-500.0	500	3823	7	-500.0	500	3823
8	-418.0	418	4241	8	-418.0	418	4241	8	-418.0	418	4241	8	-418.0	418	4241	8	-418.0	418	4241
9	-187.0	187	4428	9	-187.0	187	4428	9	-187.0	187	4428	9	-187.0	187	4428	9	-187.0	187	4428
10	-256.0	256	4684	10	-256.0	256	4684	10	-256.0	256	4684	10	-256.0	256	4684	10	-256.0	256	4684
11	-284.0	284	4968	11	-284.0	284	4968	11	-284.0	284	4968	11	-284.0	284	4968	11	-284.0	284	4968
12	-297.0	297	5265	12	-297.0	297	5265	12	-297.0	297	5265	12	-297.0	297	5265	12	-297.0	297	5265
13	-110.0	110	5375	13	-110.0	110	5375	13	-110.0	110	5375	13	-110.0	110	5375	13	-110.0	110	5375
14	-168.0	168	5543	14	-168.0	168	5543	14	-168.0	168	5543	14	-168.0	168	5543	14	-168.0	168	5543
15	-110.0	110	5653	15	-110.0	110	5653	15	-110.0	110	5653	15	-110.0	110	5653	15	-110.0	110	5653
16	-110.0	110	5763	16	-110.0	110	5763	16	-110.0	110	5763	16	-110.0	110	5763	16	-110.0	110	5763
17	-128.0	128	5891	17	-128.0	128	5891	17	-128.0	128	5891	17	-128.0	128	5891	17	-128.0	128	5891
18	-110.0	110	6001	18	-110.0	110	6001	18	-110.0	110	6001	18	-110.0	110	6001	18	-110.0	110	6001
19	-157.0	157	6158	19	-157.0	157	6158	19	-157.0	157	6158	19	-157.0	157	6158	19	-157.0	157	6158
20	-162.0	162	6320	20	-162.0	162	6320	20	-162.0	162	6320	20	-162.0	162	6320	20	-162.0	162	6320
21	-153.0	153	6473	21	-153.0	153	6473	21	-153.0	153	6473	21	-153.0	153	6473	21	-153.0	153	6473
22	-154.0	154	6627	22	-154.0	154	6627	22	-154.0	154	6627	22	-154.0	154	6627	22	-154.0	154	6627
23	-151.0	151	6778	23	-151.0	151	6778	23	-151.0	151	6778	23	-151.0	151	6778	23	-151.0	151	6778
