Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-403.0	403	1403
3	-426.0	426	1829
4	-264.0	264	2093
5	-500.0	500	2593
6	-235.0	235	2828
7	-466.0	466	3294
8	-225.0	225	3519
9	-239.0	239	3758
10	-160.0	160	3918
11	-247.0	247	4165
12	-161.0	161	4326
13	-153.0	153	4479
14	-230.0	230	4709
15	-196.0	196	4905
16	-188.0	188	5093
17	-187.0	187	5280
18	-154.0	154	5434
19	-228.0	228	5662
20	-149.0	149	5811
21	-155.0	155	5966
22	-186.0	186	6152
23	-146.0	146	6298
24	-192.0	192	6490
25	-191.0	191	6681
26	-173.0	173	6854
27	-152.0	152	7006
28	-151.0	151	7157
29	-221.0	221	7378
30	-148.0	148	7526
31	-186.0	186	7712
32	-144.0	144	7856
33	-140.0	140	7996
34	-176.0	176	8172
35	-137.0	137	8309
36	-146.0	146	8455
37	-141.0	141	8596
38	-180.0	180	8776
39	-172.0	172	8948
40	-150.0	150	9098
41	-115.0	115	9213
42	-149.0	149	9362
43	-153.0	153	9515
44	-145.0	145	9660
45	-223.0	223	9883
46	-146.0	146	10029
47	-149.0	149	10178
48	-148.0	148	10326
49	-154.0	154	10480
50	-194.0	194	10674
51	-146.0	146	10820
52	-141.0	141	10961
53	-128.0	128	11089
54	-146.0	146	11235
55	-119.0	119	11354
56	-147.0	147	11501
57	-149.0	149	11650
58	-193.0	193	11843
59	-156.0	156	11999
60	-152.0	152	12151
61	-195.0	195	12346
62	-174.0	174	12520
63	-148.0	148	12668
64	-172.0	172	12840
65	-149.0	149	12989
66	-143.0	143	13132
67	-183.0	183	13315
68	-149.0	149	13464
69	-145.0	145	13609
70	-141.0	141	13750
71	-144.0	144	13894
72	-147.0	147	14041
73	-214.0	214	14255
74	-152.0	152	14407
75	-166.0	166	14573
76	-148.0	148	14721
77	-148.0	148	14869
78	-135.0	135	15004
79	-143.0	143	15147
80	-145.0	145	15292
81	-149.0	149	15441
82	-142.0	142	15583
83	-149.0	149	15732
84	-139.0	139	15871
85	-142.0	142	16013
86	-152.0	152	16165
87	-144.0	144	16309
88	-147.0	147	16456
89	-149.0	149	16605
90	-152.0	152	16757
91	-163.0	163	16920
92	-112.0	112	17032
93	-175.0	175	17207
94	-106.0	106	17313
95	-107.0	107	17420
96	-167.0	167	17587
97	-178.0	178	17765
98	-157.0	157	17922
99	-157.0	157	18079
100	-153.0	153	18232
101	-151.0	151	18383
102	-174.0	174	18557
103	-156.0	156	18713
104	-164.0	164	18877
105	-158.0	158	19035
106	-172.0	172	19207
107	-144.0	144	19351
108	-167.0	167	19518
109	-178.0	178	19696
110	-141.0	141	19837
111	-210.0	210	20047
112	-132.0	132	20179
113	-165.0	165	20344
114	-195.0	195	20539
115	-181.0	181	20720
116	-177.0	177	20897
117	-165.0	165	21062
118	-192.0	192	21254
119	-138.0	138	21392
120	-230.0	230	21622
121	-143.0	143	21765
