Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-360.0	360	1860	3	-360.0	360	1860
4	-445.0	445	2305	4	-445.0	445	2305
5	-386.0	386	2691	5	-386.0	386	2691
6	-207.0	207	2898	6	-207.0	207	2898
7	-236.0	236	3134	7	-236.0	236	3134
8	-312.0	312	3446	8	-312.0	312	3446
9	-295.0	295	3741	9	-295.0	295	3741
10	-192.0	192	3933	10	-192.0	192	3933
11	-249.0	249	4182	11	-249.0	249	4182
12	-264.0	264	4446	12	-264.0	264	4446
13	-247.0	247	4693	13	-247.0	247	4693
14	-238.0	238	4931	14	-238.0	238	4931
15	-139.0	139	5070	15	-139.0	139	5070
16	-198.0	198	5268	16	-198.0	198	5268
17	-196.0	196	5464	17	-196.0	196	5464
18	-231.0	231	5695	18	-231.0	231	5695
19	-191.0	191	5886	19	-191.0	191	5886
20	-167.0	167	6053	20	-167.0	167	6053
21	-156.0	156	6209	21	-156.0	156	6209
22	-162.0	162	6371	22	-162.0	162	6371
23	-208.0	208	6579	23	-208.0	208	6579
24	-214.0	214	6793	24	-214.0	214	6793
25	-168.0	168	6961	25	-168.0	168	6961
26	-149.0	149	7110	26	-149.0	149	7110
27	-236.0	236	7346	27	-236.0	236	7346
28	-192.0	192	7538	28	-192.0	192	7538
29	-153.0	153	7691	29	-153.0	153	7691
30	-150.0	150	7841	30	-150.0	150	7841
31	-154.0	154	7995	31	-154.0	154	7995
32	-151.0	151	8146	32	-151.0	151	8146
33	-151.0	151	8297	33	-151.0	151	8297
34	-224.0	224	8521	34	-224.0	224	8521
35	-204.0	204	8725	35	-204.0	204	8725
36	-219.0	219	8944	36	-219.0	219	8944
37	-153.0	153	9097	37	-153.0	153	9097
38	-124.0	124	9221	38	-124.0	124	9221
39	-111.0	111	9332	39	-111.0	111	9332
40	-158.0	158	9490	40	-158.0	158	9490
41	-120.0	120	9610	41	-120.0	120	9610
42	-145.0	145	9755	42	-145.0	145	9755
43	-139.0	139	9894	43	-139.0	139	9894
44	-141.0	141	10035	44	-141.0	141	10035
45	-149.0	149	10184	45	-149.0	149	10184
46	-247.0	247	10431	46	-247.0	247	10431
47	-170.0	170	10601	47	-170.0	170	10601
