Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-486.0	486	1986	3	-486.0	486	1986	3	-486.0	486	1986
4	-420.0	420	2406	4	-420.0	420	2406	4	-420.0	420	2406
5	-390.0	390	2796	5	-390.0	390	2796	5	-390.0	390	2796
6	-461.0	461	3257	6	-461.0	461	3257	6	-461.0	461	3257
7	-267.0	267	3524	7	-267.0	267	3524	7	-267.0	267	3524
8	-281.0	281	3805	8	-281.0	281	3805	8	-281.0	281	3805
9	-254.0	254	4059	9	-254.0	254	4059	9	-254.0	254	4059
10	-163.0	163	4222	10	-163.0	163	4222	10	-163.0	163	4222
11	-283.0	283	4505	11	-283.0	283	4505	11	-283.0	283	4505
12	-149.0	149	4654	12	-149.0	149	4654	12	-149.0	149	4654
13	-211.0	211	4865	13	-211.0	211	4865	13	-211.0	211	4865
14	-218.0	218	5083	14	-218.0	218	5083	14	-218.0	218	5083
15	-149.0	149	5232	15	-149.0	149	5232	15	-149.0	149	5232
16	-215.0	215	5447	16	-215.0	215	5447	16	-215.0	215	5447
17	-192.0	192	5639	17	-192.0	192	5639	17	-192.0	192	5639
18	-175.0	175	5814	18	-175.0	175	5814	18	-175.0	175	5814
19	-178.0	178	5992	19	-178.0	178	5992	19	-178.0	178	5992
20	-148.0	148	6140	20	-148.0	148	6140	20	-148.0	148	6140
21	-180.0	180	6320	21	-180.0	180	6320	21	-180.0	180	6320
22	-207.0	207	6527	22	-207.0	207	6527	22	-207.0	207	6527
23	-155.0	155	6682	23	-155.0	155	6682	23	-155.0	155	6682
24	-151.0	151	6833	24	-151.0	151	6833	24	-151.0	151	6833
25	-147.0	147	6980	25	-147.0	147	6980	25	-147.0	147	6980
26	-217.0	217	7197	26	-217.0	217	7197	26	-217.0	217	7197
27	-226.0	226	7423	27	-226.0	226	7423	27	-226.0	226	7423
28	-154.0	154	7577	28	-154.0	154	7577	28	-154.0	154	7577
29	-152.0	152	7729	29	-152.0	152	7729	29	-152.0	152	7729
30	-148.0	148	7877	30	-148.0	148	7877	30	-148.0	148	7877
31	-158.0	158	8035	31	-158.0	158	8035	31	-158.0	158	8035
32	-151.0	151	8186	32	-151.0	151	8186	32	-151.0	151	8186
33	-202.0	202	8388	33	-202.0	202	8388	33	-202.0	202	8388
34	-164.0	164	8552	34	-164.0	164	8552	34	-164.0	164	8552
35	-143.0	143	8695	35	-143.0	143	8695	35	-143.0	143	8695
36	-145.0	145	8840	36	-145.0	145	8840	36	-145.0	145	8840
37	-143.0	143	8983	37	-143.0	143	8983	37	-143.0	143	8983
38	-144.0	144	9127	38	-144.0	144	9127	38	-144.0	144	9127
39	-142.0	142	9269	39	-142.0	142	9269	39	-142.0	142	9269
40	-158.0	158	9427	40	-158.0	158	9427	40	-158.0	158	9427
41	-142.0	142	9569	41	-142.0	142	9569	41	-142.0	142	9569
42	-149.0	149	9718	42	-149.0	149	9718	42	-149.0	149	9718
43	-146.0	146	9864	43	-146.0	146	9864	43	-146.0	146	9864
44	-146.0	146	10010	44	-146.0	146	10010	44	-146.0	146	10010
45	-142.0	142	10152	45	-142.0	142	10152	45	-142.0	142	10152
