Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-397.0	397	1897	3	-397.0	397	1897	3	-397.0	397	1897	3	-397.0	397	1897	3	-397.0	397	1897
4	-313.0	313	2210	4	-313.0	313	2210	4	-313.0	313	2210	4	-313.0	313	2210	4	-313.0	313	2210
5	-321.0	321	2531	5	-321.0	321	2531	5	-321.0	321	2531	5	-321.0	321	2531	5	-321.0	321	2531
6	-334.0	334	2865	6	-334.0	334	2865	6	-334.0	334	2865	6	-334.0	334	2865	6	-334.0	334	2865
7	-500.0	500	3365	7	-500.0	500	3365	7	-500.0	500	3365	7	-500.0	500	3365	7	-500.0	500	3365
8	-236.0	236	3601	8	-236.0	236	3601	8	-236.0	236	3601	8	-236.0	236	3601	8	-236.0	236	3601
9	-242.0	242	3843	9	-242.0	242	3843	9	-242.0	242	3843	9	-242.0	242	3843	9	-242.0	242	3843
10	-236.0	236	4079	10	-236.0	236	4079	10	-236.0	236	4079	10	-236.0	236	4079	10	-236.0	236	4079
11	-230.0	230	4309	11	-230.0	230	4309	11	-230.0	230	4309	11	-230.0	230	4309	11	-230.0	230	4309
12	-194.0	194	4503	12	-194.0	194	4503	12	-194.0	194	4503	12	-194.0	194	4503	12	-194.0	194	4503
13	-224.0	224	4727	13	-224.0	224	4727	13	-224.0	224	4727	13	-224.0	224	4727	13	-224.0	224	4727
14	-224.0	224	4951	14	-224.0	224	4951	14	-224.0	224	4951	14	-224.0	224	4951	14	-224.0	224	4951
15	-191.0	191	5142	15	-191.0	191	5142	15	-191.0	191	5142	15	-191.0	191	5142	15	-191.0	191	5142
16	-118.0	118	5260	16	-118.0	118	5260	16	-118.0	118	5260	16	-118.0	118	5260	16	-118.0	118	5260
17	-158.0	158	5418	17	-158.0	158	5418	17	-158.0	158	5418	17	-158.0	158	5418	17	-158.0	158	5418
18	-154.0	154	5572	18	-154.0	154	5572	18	-154.0	154	5572	18	-154.0	154	5572	18	-154.0	154	5572
19	-193.0	193	5765	19	-193.0	193	5765	19	-193.0	193	5765	19	-193.0	193	5765	19	-193.0	193	5765
20	-190.0	190	5955	20	-190.0	190	5955	20	-190.0	190	5955	20	-190.0	190	5955	20	-190.0	190	5955
21	-243.0	243	6198	21	-243.0	243	6198	21	-243.0	243	6198	21	-243.0	243	6198	21	-243.0	243	6198
22	-189.0	189	6387	22	-189.0	189	6387	22	-189.0	189	6387	22	-189.0	189	6387	22	-189.0	189	6387
23	-183.0	183	6570	23	-183.0	183	6570	23	-183.0	183	6570	23	-183.0	183	6570	23	-183.0	183	6570
