Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-414.0	414	1414	2	-414.0	414	1414	2	-414.0	414	1414	2	-414.0	414	1414	2	-414.0	414	1414	2	-414.0	414	1414
3	-323.0	323	1737	3	-323.0	323	1737	3	-323.0	323	1737	3	-323.0	323	1737	3	-323.0	323	1737	3	-323.0	323	1737
4	-443.0	443	2180	4	-443.0	443	2180	4	-443.0	443	2180	4	-443.0	443	2180	4	-443.0	443	2180	4	-443.0	443	2180
5	-369.0	369	2549	5	-369.0	369	2549	5	-369.0	369	2549	5	-369.0	369	2549	5	-369.0	369	2549	5	-369.0	369	2549
6	-276.0	276	2825	6	-276.0	276	2825	6	-276.0	276	2825	6	-276.0	276	2825	6	-276.0	276	2825	6	-276.0	276	2825
7	-405.0	405	3230	7	-405.0	405	3230	7	-405.0	405	3230	7	-405.0	405	3230	7	-405.0	405	3230	7	-405.0	405	3230
8	-281.0	281	3511	8	-281.0	281	3511	8	-281.0	281	3511	8	-281.0	281	3511	8	-281.0	281	3511	8	-281.0	281	3511
9	-266.0	266	3777	9	-266.0	266	3777	9	-266.0	266	3777	9	-266.0	266	3777	9	-266.0	266	3777	9	-266.0	266	3777
10	-231.0	231	4008	10	-231.0	231	4008	10	-231.0	231	4008	10	-231.0	231	4008	10	-231.0	231	4008	10	-231.0	231	4008
11	-233.0	233	4241	11	-233.0	233	4241	11	-233.0	233	4241	11	-233.0	233	4241	11	-233.0	233	4241	11	-233.0	233	4241
12	-164.0	164	4405	12	-164.0	164	4405	12	-164.0	164	4405	12	-164.0	164	4405	12	-164.0	164	4405	12	-164.0	164	4405
13	-202.0	202	4607	13	-202.0	202	4607	13	-202.0	202	4607	13	-202.0	202	4607	13	-202.0	202	4607	13	-202.0	202	4607
14	-176.0	176	4783	14	-176.0	176	4783	14	-176.0	176	4783	14	-176.0	176	4783	14	-176.0	176	4783	14	-176.0	176	4783
15	-250.0	250	5033	15	-250.0	250	5033	15	-250.0	250	5033	15	-250.0	250	5033	15	-250.0	250	5033	15	-250.0	250	5033
16	-207.0	207	5240	16	-207.0	207	5240	16	-207.0	207	5240	16	-207.0	207	5240	16	-207.0	207	5240	16	-207.0	207	5240
17	-155.0	155	5395	17	-155.0	155	5395	17	-155.0	155	5395	17	-155.0	155	5395	17	-155.0	155	5395	17	-155.0	155	5395
18	-163.0	163	5558	18	-163.0	163	5558	18	-163.0	163	5558	18	-163.0	163	5558	18	-163.0	163	5558	18	-163.0	163	5558
19	-184.0	184	5742	19	-184.0	184	5742	19	-184.0	184	5742	19	-184.0	184	5742	19	-184.0	184	5742	19	-184.0	184	5742
20	-149.0	149	5891	20	-149.0	149	5891	20	-149.0	149	5891	20	-149.0	149	5891	20	-149.0	149	5891	20	-149.0	149	5891
21	-153.0	153	6044	21	-153.0	153	6044	21	-153.0	153	6044	21	-153.0	153	6044	21	-153.0	153	6044	21	-153.0	153	6044
22	-232.0	232	6276	22	-232.0	232	6276	22	-232.0	232	6276	22	-232.0	232	6276	22	-232.0	232	6276	22	-232.0	232	6276
23	-152.0	152	6428	23	-152.0	152	6428	23	-152.0	152	6428	23	-152.0	152	6428	23	-152.0	152	6428	23	-152.0	152	6428
24	-183.0	183	6611	24	-183.0	183	6611	24	-183.0	183	6611	24	-183.0	183	6611	24	-183.0	183	6611	24	-183.0	183	6611
25	-194.0	194	6805	25	-194.0	194	6805	25	-194.0	194	6805	25	-194.0	194	6805	25	-194.0	194	6805	25	-194.0	194	6805
26	-197.0	197	7002	26	-197.0	197	7002	26	-197.0	197	7002	26	-197.0	197	7002	26	-197.0	197	7002	26	-197.0	197	7002
27	-182.0	182	7184	27	-182.0	182	7184	27	-182.0	182	7184	27	-182.0	182	7184	27	-182.0	182	7184	27	-182.0	182	7184
28	-143.0	143	7327	28	-143.0	143	7327	28	-143.0	143	7327	28	-143.0	143	7327	28	-143.0	143	7327	28	-143.0	143	7327
29	-148.0	148	7475	29	-148.0	148	7475	29	-148.0	148	7475	29	-148.0	148	7475	29	-148.0	148	7475	29	-148.0	148	7475
30	-220.0	220	7695	30	-220.0	220	7695	30	-220.0	220	7695	30	-220.0	220	7695	30	-220.0	220	7695	30	-220.0	220	7695
31	-145.0	145	7840	31	-145.0	145	7840	31	-145.0	145	7840	31	-145.0	145	7840	31	-145.0	145	7840	31	-145.0	145	7840
32	-151.0	151	7991	32	-151.0	151	7991	32	-151.0	151	7991	32	-151.0	151	7991	32	-151.0	151	7991	32	-151.0	151	7991
33	-206.0	206	8197	33	-206.0	206	8197	33	-206.0	206	8197	33	-206.0	206	8197	33	-206.0	206	8197	33	-206.0	206	8197
34	-120.0	120	8317	34	-120.0	120	8317	34	-120.0	120	8317	34	-120.0	120	8317	34	-120.0	120	8317	34	-120.0	120	8317
35	-154.0	154	8471	35	-154.0	154	8471	35	-154.0	154	8471	35	-154.0	154	8471	35	-154.0	154	8471	35	-154.0	154	8471
36	-121.0	121	8592	36	-121.0	121	8592	36	-121.0	121	8592	36	-121.0	121	8592	36	-121.0	121	8592	36	-121.0	121	8592
37	-115.0	115	8707	37	-115.0	115	8707	37	-115.0	115	8707	37	-115.0	115	8707	37	-115.0	115	8707	37	-115.0	115	8707
38	-182.0	182	8889	38	-182.0	182	8889	38	-182.0	182	8889	38	-182.0	182	8889	38	-182.0	182	8889	38	-182.0	182	8889
39	-145.0	145	9034	39	-145.0	145	9034	39	-145.0	145	9034	39	-145.0	145	9034	39	-145.0	145	9034	39	-145.0	145	9034
40	-147.0	147	9181	40	-147.0	147	9181	40	-147.0	147	9181	40	-147.0	147	9181	40	-147.0	147	9181	40	-147.0	147	9181
41	-123.0	123	9304	41	-123.0	123	9304	41	-123.0	123	9304	41	-123.0	123	9304	41	-123.0	123	9304	41	-123.0	123	9304
42	-174.0	174	9478	42	-174.0	174	9478	42	-174.0	174	9478	42	-174.0	174	9478	42	-174.0	174	9478	42	-174.0	174	9478
43	-144.0	144	9622	43	-144.0	144	9622	43	-144.0	144	9622	43	-144.0	144	9622	43	-144.0	144	9622	43	-144.0	144	9622
44	-147.0	147	9769	44	-147.0	147	9769	44	-147.0	147	9769	44	-147.0	147	9769	44	-147.0	147	9769	44	-147.0	147	9769
45	-145.0	145	9914	45	-145.0	145	9914	45	-145.0	145	9914	45	-145.0	145	9914	45	-145.0	145	9914	45	-145.0	145	9914
46	-182.0	182	10096	46	-182.0	182	10096	46	-182.0	182	10096	46	-182.0	182	10096	46	-182.0	182	10096	46	-182.0	182	10096
