Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-439.0	439	939	1	-439.0	439	939	1	-439.0	439	939	1	-439.0	439	939	1	-439.0	439	939	1	-439.0	439	939	1	-439.0	439	939
2	-500.0	500	1439	2	-500.0	500	1439	2	-500.0	500	1439	2	-500.0	500	1439	2	-500.0	500	1439	2	-500.0	500	1439	2	-500.0	500	1439
3	-500.0	500	1939	3	-500.0	500	1939	3	-500.0	500	1939	3	-500.0	500	1939	3	-500.0	500	1939	3	-500.0	500	1939	3	-500.0	500	1939
4	-312.0	312	2251	4	-312.0	312	2251	4	-312.0	312	2251	4	-312.0	312	2251	4	-312.0	312	2251	4	-312.0	312	2251	4	-312.0	312	2251
5	-398.0	398	2649	5	-398.0	398	2649	5	-398.0	398	2649	5	-398.0	398	2649	5	-398.0	398	2649	5	-398.0	398	2649	5	-398.0	398	2649
6	-329.0	329	2978	6	-329.0	329	2978	6	-329.0	329	2978	6	-329.0	329	2978	6	-329.0	329	2978	6	-329.0	329	2978	6	-329.0	329	2978
7	-290.0	290	3268	7	-290.0	290	3268	7	-290.0	290	3268	7	-290.0	290	3268	7	-290.0	290	3268	7	-290.0	290	3268	7	-290.0	290	3268
8	-230.0	230	3498	8	-230.0	230	3498	8	-230.0	230	3498	8	-230.0	230	3498	8	-230.0	230	3498	8	-230.0	230	3498	8	-230.0	230	3498
9	-234.0	234	3732	9	-234.0	234	3732	9	-234.0	234	3732	9	-234.0	234	3732	9	-234.0	234	3732	9	-234.0	234	3732	9	-234.0	234	3732
10	-246.0	246	3978	10	-246.0	246	3978	10	-246.0	246	3978	10	-246.0	246	3978	10	-246.0	246	3978	10	-246.0	246	3978	10	-246.0	246	3978
11	-221.0	221	4199	11	-221.0	221	4199	11	-221.0	221	4199	11	-221.0	221	4199	11	-221.0	221	4199	11	-221.0	221	4199	11	-221.0	221	4199
12	-287.0	287	4486	12	-287.0	287	4486	12	-287.0	287	4486	12	-287.0	287	4486	12	-287.0	287	4486	12	-287.0	287	4486	12	-287.0	287	4486
13	-157.0	157	4643	13	-157.0	157	4643	13	-157.0	157	4643	13	-157.0	157	4643	13	-157.0	157	4643	13	-157.0	157	4643	13	-157.0	157	4643
14	-236.0	236	4879	14	-236.0	236	4879	14	-236.0	236	4879	14	-236.0	236	4879	14	-236.0	236	4879	14	-236.0	236	4879	14	-236.0	236	4879
15	-225.0	225	5104	15	-225.0	225	5104	15	-225.0	225	5104	15	-225.0	225	5104	15	-225.0	225	5104	15	-225.0	225	5104	15	-225.0	225	5104
16	-259.0	259	5363	16	-259.0	259	5363	16	-259.0	259	5363	16	-259.0	259	5363	16	-259.0	259	5363	16	-259.0	259	5363	16	-259.0	259	5363
17	-218.0	218	5581	17	-218.0	218	5581	17	-218.0	218	5581	17	-218.0	218	5581	17	-218.0	218	5581	17	-218.0	218	5581	17	-218.0	218	5581
18	-272.0	272	5853	18	-272.0	272	5853	18	-272.0	272	5853	18	-272.0	272	5853	18	-272.0	272	5853	18	-272.0	272	5853	18	-272.0	272	5853
19	-199.0	199	6052	19	-199.0	199	6052	19	-199.0	199	6052	19	-199.0	199	6052	19	-199.0	199	6052	19	-199.0	199	6052	19	-199.0	199	6052
20	-182.0	182	6234	20	-182.0	182	6234	20	-182.0	182	6234	20	-182.0	182	6234	20	-182.0	182	6234	20	-182.0	182	6234	20	-182.0	182	6234
21	-159.0	159	6393	21	-159.0	159	6393	21	-159.0	159	6393	21	-159.0	159	6393	21	-159.0	159	6393	21	-159.0	159	6393	21	-159.0	159	6393
22	-211.0	211	6604	22	-211.0	211	6604	22	-211.0	211	6604	22	-211.0	211	6604	22	-211.0	211	6604	22	-211.0	211	6604	22	-211.0	211	6604
23	-155.0	155	6759	23	-155.0	155	6759	23	-155.0	155	6759	23	-155.0	155	6759	23	-155.0	155	6759	23	-155.0	155	6759	23	-155.0	155	6759
24	-155.0	155	6914	24	-155.0	155	6914	24	-155.0	155	6914	24	-155.0	155	6914	24	-155.0	155	6914	24	-155.0	155	6914	24	-155.0	155	6914
25	-147.0	147	7061	25	-147.0	147	7061	25	-147.0	147	7061	25	-147.0	147	7061	25	-147.0	147	7061	25	-147.0	147	7061	25	-147.0	147	7061
26	-145.0	145	7206	26	-145.0	145	7206	26	-145.0	145	7206	26	-145.0	145	7206	26	-145.0	145	7206	26	-145.0	145	7206	26	-145.0	145	7206
27	-211.0	211	7417	27	-211.0	211	7417	27	-211.0	211	7417	27	-211.0	211	7417	27	-211.0	211	7417	27	-211.0	211	7417	27	-211.0	211	7417
28	-176.0	176	7593	28	-176.0	176	7593	28	-176.0	176	7593	28	-176.0	176	7593	28	-176.0	176	7593	28	-176.0	176	7593	28	-176.0	176	7593
29	-196.0	196	7789	29	-196.0	196	7789	29	-196.0	196	7789	29	-196.0	196	7789	29	-196.0	196	7789	29	-196.0	196	7789	29	-196.0	196	7789
30	-187.0	187	7976	30	-187.0	187	7976	30	-187.0	187	7976	30	-187.0	187	7976	30	-187.0	187	7976	30	-187.0	187	7976	30	-187.0	187	7976
31	-149.0	149	8125	31	-149.0	149	8125	31	-149.0	149	8125	31	-149.0	149	8125	31	-149.0	149	8125	31	-149.0	149	8125	31	-149.0	149	8125
32	-188.0	188	8313	32	-188.0	188	8313	32	-188.0	188	8313	32	-188.0	188	8313	32	-188.0	188	8313	32	-188.0	188	8313	32	-188.0	188	8313
33	-145.0	145	8458	33	-145.0	145	8458	33	-145.0	145	8458	33	-145.0	145	8458	33	-145.0	145	8458	33	-145.0	145	8458	33	-145.0	145	8458
34	-139.0	139	8597	34	-139.0	139	8597	34	-139.0	139	8597	34	-139.0	139	8597	34	-139.0	139	8597	34	-139.0	139	8597	34	-139.0	139	8597
35	-140.0	140	8737	35	-140.0	140	8737	35	-140.0	140	8737	35	-140.0	140	8737	35	-140.0	140	8737	35	-140.0	140	8737	35	-140.0	140	8737
