Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330	2	-330.0	330	1330
3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783	3	-453.0	453	1783
4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097	4	-314.0	314	2097
5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488	5	-391.0	391	2488
6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861	6	-373.0	373	2861
7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298	7	-437.0	437	3298
8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532	8	-234.0	234	3532
9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824	9	-292.0	292	3824
10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182	10	-358.0	358	4182
11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412	11	-230.0	230	4412
12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590	12	-178.0	178	4590
13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820	13	-230.0	230	4820
14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054	14	-234.0	234	5054
15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280	15	-226.0	226	5280
16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500	16	-220.0	220	5500
17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735	17	-235.0	235	5735
18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939	18	-204.0	204	5939
19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134	19	-195.0	195	6134
20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256	20	-122.0	122	6256
21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494	21	-238.0	238	6494
22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653	22	-159.0	159	6653
23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805	23	-152.0	152	6805
24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959	24	-154.0	154	6959
25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120	25	-161.0	161	7120
26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277	26	-157.0	157	7277
27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463	27	-186.0	186	7463
28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617	28	-154.0	154	7617
29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813	29	-196.0	196	7813
30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994	30	-181.0	181	7994
31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145	31	-151.0	151	8145
32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293	32	-148.0	148	8293
33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479	33	-186.0	186	8479
34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629	34	-150.0	150	8629
35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813	35	-184.0	184	8813
36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966	36	-153.0	153	8966
37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106	37	-140.0	140	9106
38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304	38	-198.0	198	9304
39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445	39	-141.0	141	9445
40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660	40	-215.0	215	9660
41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802	41	-142.0	142	9802
42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948	42	-146.0	146	9948
43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097	43	-149.0	149	10097
44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250	44	-153.0	153	10250
45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402	45	-152.0	152	10402
46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556	46	-154.0	154	10556
47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701	47	-145.0	145	10701
48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843	48	-142.0	142	10843
49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987	49	-144.0	144	10987
50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120	50	-133.0	133	11120
51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235	51	-115.0	115	11235
52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385	52	-150.0	150	11385
53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540	53	-155.0	155	11540
54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728	54	-188.0	188	11728
55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885	55	-157.0	157	11885
56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097	56	-212.0	212	12097
57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269	57	-172.0	172	12269
58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425	58	-156.0	156	12425
59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570	59	-145.0	145	12570
60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712	60	-142.0	142	12712
61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864	61	-152.0	152	12864
62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009	62	-145.0	145	13009
63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207	63	-198.0	198	13207
64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389	64	-182.0	182	13389
65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540	65	-151.0	151	13540
66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684	66	-144.0	144	13684
67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827	67	-143.0	143	13827
68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951	68	-124.0	124	13951
69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080	69	-129.0	129	14080
