Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453	2	-453.0	453	1453
3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867	3	-414.0	414	1867
4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210	4	-343.0	343	2210
5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559	5	-349.0	349	2559
6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946	6	-387.0	387	2946
7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312	7	-366.0	366	3312
8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587	8	-275.0	275	3587
9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870	9	-283.0	283	3870
10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030	10	-160.0	160	4030
11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265	11	-235.0	235	4265
12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574	12	-309.0	309	4574
13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815	13	-241.0	241	4815
