Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818	3	-318.0	318	1818
4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212	4	-394.0	394	2212
5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565	5	-353.0	353	2565
6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804	6	-239.0	239	2804
7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958	7	-154.0	154	2958
8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185	8	-227.0	227	3185
9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576	9	-391.0	391	3576
10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816	10	-240.0	240	3816
11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012	11	-196.0	196	4012
12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246	12	-234.0	234	4246
13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442	13	-196.0	196	4442
14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603	14	-161.0	161	4603
15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782	15	-179.0	179	4782
16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966	16	-184.0	184	4966
17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161	17	-195.0	195	5161
18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411	18	-250.0	250	5411
19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568	19	-157.0	157	5568
20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793	20	-225.0	225	5793
21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918	21	-125.0	125	5918
22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079	22	-161.0	161	6079
23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342	23	-263.0	263	6342
24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500	24	-158.0	158	6500
25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661	25	-161.0	161	6661
26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867	26	-206.0	206	6867
27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982	27	-115.0	115	6982
28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096	28	-114.0	114	7096
